bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,126.0,22.0,104.0,17.46031746031746,82.53968253968254,126.0,22.0,104.0,0.1791385066362674,29.213483146067414,29.034344639431147,0.21153846153846154
2.0,127.0,52.0,75.0,40.94488188976378,59.05511811023622,253.0,74.0,179.0,0.6025567950492631,50.28089887640449,49.67834208135523,0.4134078212290503
3.0,126.0,91.0,35.0,72.22222222222223,27.77777777777777,379.0,165.0,214.0,1.3435387997720056,60.1123595505618,58.76882075078979,0.7710280373831776
4.0,126.0,109.0,17.0,86.5079365079365,13.492063492063494,505.0,274.0,231.0,2.231088673560785,64.88764044943821,62.656551775877425,1.1861471861471862
5.0,127.0,113.0,14.0,88.97637795275591,11.02362204724409,632.0,387.0,245.0,3.1512091849197947,68.82022471910112,65.66901553418133,1.579591836734694
6.0,126.0,115.0,11.0,91.26984126984127,8.730158730158735,758.0,502.0,256.0,4.087615015063919,71.91011235955057,67.82249734448665,1.9609375
7.0,127.0,112.0,15.0,88.18897637795276,11.811023622047244,885.0,614.0,271.0,4.999592867030372,76.12359550561797,71.1240026385876,2.265682656826568
8.0,126.0,113.0,13.0,89.68253968253968,10.317460317460316,1011.0,727.0,284.0,5.919713378389382,79.7752808988764,73.85556752048703,2.5598591549295775
9.0,126.0,118.0,8.0,93.65079365079364,6.349206349206355,1137.0,845.0,292.0,6.88054718671118,82.02247191011236,75.14192472340117,2.893835616438356
10.0,127.0,120.0,7.0,94.48818897637796,5.511811023622045,1264.0,965.0,299.0,7.857666313818093,83.98876404494382,76.13109773112572,3.2274247491638794
11.0,126.0,121.0,5.0,96.03174603174604,3.9682539682539613,1390.0,1086.0,304.0,8.842928100317565,85.3932584269663,76.55033032664873,3.5723684210526314
12.0,126.0,120.0,6.0,95.23809523809524,4.761904761904759,1516.0,1206.0,310.0,9.820047227424476,87.07865168539325,77.25860445796877,3.890322580645161
13.0,127.0,120.0,7.0,94.48818897637796,5.511811023622045,1643.0,1326.0,317.0,10.79716635453139,89.04494382022472,78.24777746569333,4.182965299684542
14.0,126.0,124.0,2.0,98.41269841269842,1.5873015873015817,1769.0,1450.0,319.0,11.806856119208534,89.6067415730337,77.79988545382517,4.545454545454546
15.0,127.0,126.0,1.0,99.21259842519684,0.7874015748031553,1896.0,1576.0,320.0,12.832831202670793,89.88764044943821,77.05480924676742,4.925
16.0,126.0,124.0,2.0,98.41269841269842,1.5873015873015817,2022.0,1700.0,322.0,13.842520967347935,90.4494382022472,76.60691723489926,5.279503105590062
17.0,126.0,123.0,3.0,97.61904761904762,2.3809523809523796,2148.0,1823.0,325.0,14.844068072632522,91.29213483146067,76.44806675882815,5.609230769230769
18.0,127.0,127.0,0.0,100.0,0.0,2275.0,1950.0,325.0,15.878185815487338,91.29213483146067,75.41394901597333,6.0
19.0,126.0,122.0,4.0,96.82539682539682,3.1746031746031775,2401.0,2072.0,329.0,16.871590261379367,92.41573033707866,75.54414007569929,6.297872340425532
20.0,126.0,125.0,1.0,99.2063492063492,0.7936507936507979,2527.0,2197.0,330.0,17.889422685449066,92.69662921348315,74.80720652803409,6.657575757575757
21.0,127.0,127.0,0.0,100.0,0.0,2654.0,2324.0,330.0,18.923540428303884,92.69662921348315,73.77308878517927,7.042424242424242
22.0,126.0,126.0,0.0,100.0,0.0,2780.0,2450.0,330.0,19.949515511766144,92.69662921348315,72.74711370171701,7.424242424242424
23.0,127.0,126.0,1.0,99.21259842519684,0.7874015748031553,2907.0,2576.0,331.0,20.9754905952284,92.97752808988764,72.00203749465925,7.782477341389728
24.0,126.0,125.0,1.0,99.2063492063492,0.7936507936507979,3033.0,2701.0,332.0,21.993323019298103,93.25842696629213,71.26510394699403,8.135542168674698
25.0,126.0,124.0,2.0,98.41269841269842,1.5873015873015817,3159.0,2825.0,334.0,23.003012783975247,93.82022471910112,70.81721193512587,8.45808383233533
26.0,127.0,126.0,1.0,99.21259842519684,0.7874015748031553,3286.0,2951.0,335.0,24.028987867437504,94.10112359550561,70.0721357280681,8.808955223880597
27.0,126.0,125.0,1.0,99.2063492063492,0.7936507936507979,3412.0,3076.0,336.0,25.046820291507206,94.38202247191012,69.33520218040292,9.154761904761905
28.0,126.0,126.0,0.0,100.0,0.0,3538.0,3202.0,336.0,26.072795374969466,94.38202247191012,68.30922709694065,9.529761904761905
29.0,127.0,126.0,1.0,99.21259842519684,0.7874015748031553,3665.0,3328.0,337.0,27.098770458431723,94.66292134831461,67.56415088988288,9.875370919881306
30.0,126.0,125.0,1.0,99.2063492063492,0.7936507936507979,3791.0,3453.0,338.0,28.116602882501425,94.9438202247191,66.82721734221768,10.215976331360947
31.0,126.0,125.0,1.0,99.2063492063492,0.7936507936507979,3917.0,3578.0,339.0,29.134435306571127,95.2247191011236,66.09028379455248,10.55457227138643
32.0,127.0,127.0,0.0,100.0,0.0,4044.0,3705.0,339.0,30.16855304942594,95.2247191011236,65.05616605169766,10.929203539823009
33.0,126.0,126.0,0.0,100.0,0.0,4170.0,3831.0,339.0,31.194528132888202,95.2247191011236,64.03019096823539,11.300884955752212
34.0,127.0,127.0,0.0,100.0,0.0,4297.0,3958.0,339.0,32.22864587574302,95.2247191011236,62.99607322538058,11.67551622418879
35.0,126.0,125.0,1.0,99.2063492063492,0.7936507936507979,4423.0,4083.0,340.0,33.24647829981272,95.50561797752809,62.25913967771537,12.008823529411766
36.0,126.0,125.0,1.0,99.2063492063492,0.7936507936507979,4549.0,4208.0,341.0,34.26431072388242,95.78651685393258,61.522206130050165,12.340175953079179
37.0,127.0,127.0,0.0,100.0,0.0,4676.0,4335.0,341.0,35.298428466737235,95.78651685393258,60.48808838719535,12.712609970674487
38.0,126.0,124.0,2.0,98.41269841269842,1.5873015873015817,4802.0,4459.0,343.0,36.30811823141438,96.34831460674157,60.040196375327184,13.0
39.0,126.0,126.0,0.0,100.0,0.0,4928.0,4585.0,343.0,37.33409331487664,96.34831460674157,59.01422129186493,13.36734693877551
40.0,127.0,126.0,1.0,99.21259842519684,0.7874015748031553,5055.0,4711.0,344.0,38.360068398338896,96.62921348314607,58.26914508480718,13.694767441860465
41.0,126.0,126.0,0.0,100.0,0.0,5181.0,4837.0,344.0,39.38604348180116,96.62921348314607,57.243170001344915,14.061046511627907
42.0,127.0,126.0,1.0,99.21259842519684,0.7874015748031553,5308.0,4963.0,345.0,40.412018565263416,96.91011235955057,56.49809379428715,14.385507246376811
43.0,126.0,126.0,0.0,100.0,0.0,5434.0,5089.0,345.0,41.43799364872567,96.91011235955057,55.472118710824894,14.75072463768116
44.0,126.0,123.0,3.0,97.61904761904762,2.3809523809523796,5560.0,5212.0,348.0,42.43954075401026,97.75280898876404,55.313268234753785,14.977011494252874
45.0,127.0,127.0,0.0,100.0,0.0,5687.0,5339.0,348.0,43.47365849686508,97.75280898876404,54.27915049189897,15.341954022988507
46.0,126.0,126.0,0.0,100.0,0.0,5813.0,5465.0,348.0,44.499633580327334,97.75280898876404,53.25317540843671,15.704022988505747
47.0,126.0,125.0,1.0,99.2063492063492,0.7936507936507979,5939.0,5590.0,349.0,45.517466004397036,98.03370786516854,52.5162418607715,16.017191977077363
48.0,127.0,127.0,0.0,100.0,0.0,6066.0,5717.0,349.0,46.551583747251854,98.03370786516854,51.48212411791668,16.3810888252149
49.0,126.0,126.0,0.0,100.0,0.0,6192.0,5843.0,349.0,47.57755883071411,98.03370786516854,50.45614903445443,16.74212034383954
50.0,126.0,126.0,0.0,100.0,0.0,6318.0,5969.0,349.0,48.60353391417637,98.03370786516854,49.43017395099217,17.103151862464184
51.0,127.0,127.0,0.0,100.0,0.0,6445.0,6096.0,349.0,49.637651657031185,98.03370786516854,48.39605620813735,17.46704871060172
52.0,126.0,126.0,0.0,100.0,0.0,6571.0,6222.0,349.0,50.66362674049345,98.03370786516854,47.37008112467509,17.828080229226362
53.0,127.0,126.0,1.0,99.21259842519684,0.7874015748031553,6698.0,6348.0,350.0,51.689601823955705,98.31460674157303,46.625004917617325,18.13714285714286
54.0,126.0,126.0,0.0,100.0,0.0,6824.0,6474.0,350.0,52.71557690741796,98.31460674157303,45.59902983415507,18.497142857142858
55.0,126.0,126.0,0.0,100.0,0.0,6950.0,6600.0,350.0,53.74155199088022,98.31460674157303,44.57305475069281,18.857142857142858
56.0,127.0,127.0,0.0,100.0,0.0,7077.0,6727.0,350.0,54.775669733735036,98.31460674157303,43.538937007837994,19.22
57.0,126.0,126.0,0.0,100.0,0.0,7203.0,6853.0,350.0,55.8016448171973,98.31460674157303,42.51296192437573,19.58
58.0,126.0,126.0,0.0,100.0,0.0,7329.0,6979.0,350.0,56.827619900659556,98.31460674157303,41.486986840913474,19.94
59.0,127.0,127.0,0.0,100.0,0.0,7456.0,7106.0,350.0,57.861737643514374,98.31460674157303,40.452869098058656,20.302857142857142
60.0,126.0,125.0,1.0,99.2063492063492,0.7936507936507979,7582.0,7231.0,351.0,58.879570067584076,98.59550561797752,39.715935550393446,20.6011396011396
61.0,127.0,127.0,0.0,100.0,0.0,7709.0,7358.0,351.0,59.91368781043889,98.59550561797752,38.681817807538636,20.962962962962962
62.0,126.0,126.0,0.0,100.0,0.0,7835.0,7484.0,351.0,60.93966289390115,98.59550561797752,37.65584272407637,21.321937321937323
63.0,126.0,126.0,0.0,100.0,0.0,7961.0,7610.0,351.0,61.96563797736341,98.59550561797752,36.629867640614115,21.68091168091168
64.0,127.0,127.0,0.0,100.0,0.0,8088.0,7737.0,351.0,62.999755720218225,98.59550561797752,35.5957498977593,22.042735042735043
65.0,126.0,126.0,0.0,100.0,0.0,8214.0,7863.0,351.0,64.02573080368049,98.59550561797752,34.569774814297034,22.4017094017094
66.0,126.0,126.0,0.0,100.0,0.0,8340.0,7989.0,351.0,65.05170588714275,98.59550561797752,33.54379973083478,22.76068376068376
67.0,127.0,127.0,0.0,100.0,0.0,8467.0,8116.0,351.0,66.08582362999756,98.59550561797752,32.50968198797996,23.122507122507123
68.0,126.0,126.0,0.0,100.0,0.0,8593.0,8242.0,351.0,67.11179871345982,98.59550561797752,31.483706904517703,23.48148148148148
69.0,127.0,126.0,1.0,99.21259842519684,0.7874015748031553,8720.0,8368.0,352.0,68.13777379692208,98.87640449438203,30.738630697459953,23.772727272727273
70.0,126.0,126.0,0.0,100.0,0.0,8846.0,8494.0,352.0,69.16374888038433,98.87640449438203,29.712655613997697,24.130681818181817
71.0,126.0,126.0,0.0,100.0,0.0,8972.0,8620.0,352.0,70.18972396384659,98.87640449438203,28.68668053053544,24.488636363636363
72.0,127.0,127.0,0.0,100.0,0.0,9099.0,8747.0,352.0,71.2238417067014,98.87640449438203,27.652562787680623,24.849431818181817
73.0,126.0,126.0,0.0,100.0,0.0,9225.0,8873.0,352.0,72.24981679016366,98.87640449438203,26.626587704218366,25.207386363636363
74.0,126.0,124.0,2.0,98.41269841269842,1.5873015873015817,9351.0,8997.0,354.0,73.25950655484081,99.43820224719101,26.178695692350203,25.415254237288135
75.0,127.0,126.0,1.0,99.21259842519684,0.7874015748031553,9478.0,9123.0,355.0,74.28548163830307,99.71910112359551,25.43361948529244,25.698591549295774
76.0,126.0,125.0,1.0,99.2063492063492,0.7936507936507979,9604.0,9248.0,356.0,75.30331406237278,100.0,24.696685937627223,25.97752808988764
