bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR,Fraud Savings,FP Loss,Overall Savings
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,598.0,37.0,561.0,6.187290969899665,93.81270903010034,598.0,37.0,561.0,0.06346592565910221,37.87981093855503,37.81634501289593,0.0659536541889483,224400.0,740.0,223660.0
2.0,598.0,172.0,426.0,28.762541806020067,71.23745819397993,1196.0,209.0,987.0,0.3584967152095233,66.64415935178933,66.2856626365798,0.21175278622087132,394800.0,4180.0,390620.0
3.0,597.0,432.0,165.0,72.36180904522612,27.638190954773876,1793.0,641.0,1152.0,1.0995042796617438,77.78528021607022,76.68577593640848,0.5564236111111112,460800.0,12820.0,447980.0
4.0,598.0,514.0,84.0,85.95317725752508,14.046822742474916,2391.0,1155.0,1236.0,1.9811660577368393,83.45712356515868,81.47595750742184,0.9344660194174758,494400.0,23100.0,471300.0
5.0,598.0,563.0,35.0,94.14715719063545,5.852842809364546,2989.0,1718.0,1271.0,2.9468773049280435,85.82039162727887,82.87351432235083,1.3516915814319435,508400.0,34360.0,474040.0
6.0,598.0,575.0,23.0,96.15384615384616,3.8461538461538396,3587.0,2293.0,1294.0,3.9331720955762535,87.373396353815,83.44022425823874,1.7720247295208655,517600.0,45860.0,471740.0
7.0,598.0,581.0,17.0,97.1571906354515,2.8428093645485006,4185.0,2874.0,1311.0,4.929758657952966,88.52126941255908,83.5915107546061,2.192219679633867,524400.0,57480.0,466920.0
8.0,597.0,576.0,21.0,96.48241206030151,3.517587939698487,4782.0,3450.0,1332.0,5.91776874388926,89.9392302498312,84.02146150594194,2.59009009009009,532800.0,69000.0,463800.0
9.0,598.0,587.0,11.0,98.16053511705685,1.8394648829431475,5380.0,4037.0,1343.0,6.924647077994477,90.68197164078326,83.75732456278878,3.005956813104989,537200.0,80740.0,456460.0
10.0,598.0,591.0,7.0,98.82943143812709,1.170568561872912,5978.0,4628.0,1350.0,7.938386593252028,91.15462525320729,83.21623865995525,3.428148148148148,540000.0,92560.0,447440.0
11.0,598.0,592.0,6.0,98.99665551839465,1.0033444816053532,6576.0,5220.0,1356.0,8.953841403797664,91.55975692099932,82.60591551720165,3.849557522123894,542400.0,104400.0,438000.0
12.0,598.0,590.0,8.0,98.66220735785953,1.337792642140471,7174.0,5810.0,1364.0,9.965865623767131,92.09993247805536,82.13406685428824,4.2595307917888565,545600.0,116200.0,429400.0
13.0,597.0,591.0,6.0,98.99497487437186,1.005025125628137,7771.0,6401.0,1370.0,10.979605139024683,92.5050641458474,81.52545900682271,4.672262773722628,548000.0,128020.0,419980.0
14.0,598.0,595.0,3.0,99.49832775919732,0.5016722408026766,8369.0,6996.0,1373.0,12.00020583543457,92.70762997974342,80.70742414430885,5.095411507647487,549200.0,139920.0,409280.0
15.0,598.0,593.0,5.0,99.1638795986622,0.8361204013377943,8967.0,7589.0,1378.0,13.01737594126829,93.04523970290344,80.02786376163516,5.5072568940493465,551200.0,151780.0,399420.0
16.0,598.0,594.0,4.0,99.33110367892976,0.6688963210702354,9565.0,8183.0,1382.0,14.036261342390093,93.31532748143147,79.27906613904138,5.921128798842258,552800.0,163660.0,389140.0
17.0,598.0,591.0,7.0,98.82943143812709,1.170568561872912,10163.0,8774.0,1389.0,15.050000857647644,93.7879810938555,78.73798023620786,6.316774658027358,555600.0,175480.0,380120.0
18.0,597.0,591.0,6.0,98.99497487437186,1.005025125628137,10760.0,9365.0,1395.0,16.063740372905194,94.19311276164754,78.12937238874235,6.71326164874552,558000.0,187300.0,370700.0
19.0,598.0,591.0,7.0,98.82943143812709,1.170568561872912,11358.0,9956.0,1402.0,17.07747988816275,94.66576637407157,77.58828648590881,7.101283880171184,560800.0,199120.0,361680.0
20.0,598.0,593.0,5.0,99.1638795986622,0.8361204013377943,11956.0,10549.0,1407.0,18.094649993996466,95.0033760972316,76.90872610323513,7.497512437810945,562800.0,210980.0,351820.0
21.0,598.0,594.0,4.0,99.33110367892976,0.6688963210702354,12554.0,11143.0,1411.0,19.11353539511827,95.27346387575962,76.15992848064136,7.897236002834869,564400.0,222860.0,341540.0
22.0,598.0,594.0,4.0,99.33110367892976,0.6688963210702354,13152.0,11737.0,1415.0,20.132420796240073,95.54355165428764,75.41113085804757,8.29469964664311,566000.0,234740.0,331260.0
23.0,597.0,594.0,3.0,99.49748743718592,0.5025125628140756,13749.0,12331.0,1418.0,21.151306197361876,95.74611748818366,74.59481129082178,8.69605077574048,567200.0,246620.0,320580.0
24.0,598.0,598.0,0.0,100.0,0.0,14347.0,12929.0,1418.0,22.177052779636014,95.74611748818366,73.56906470854764,9.117771509167842,567200.0,258580.0,308620.0
25.0,598.0,595.0,3.0,99.49832775919732,0.5016722408026766,14945.0,13524.0,1421.0,23.1976534760459,95.94868332207967,72.75102984603377,9.517241379310345,568400.0,270480.0,297920.0
26.0,598.0,595.0,3.0,99.49832775919732,0.5016722408026766,15543.0,14119.0,1424.0,24.218254172455786,96.15124915597569,71.9329949835199,9.91502808988764,569600.0,282380.0,287220.0
27.0,598.0,596.0,2.0,99.66555183946488,0.3344481605351177,16141.0,14715.0,1426.0,25.24057016415376,96.2862930452397,71.04572288108594,10.319074333800842,570400.0,294300.0,276100.0
28.0,597.0,592.0,5.0,99.16247906197655,0.8375209380234452,16738.0,15307.0,1431.0,26.256024974699393,96.62390276839973,70.36787779370033,10.696715583508036,572400.0,306140.0,266260.0
29.0,598.0,598.0,0.0,100.0,0.0,17336.0,15905.0,1431.0,27.28177155697353,96.62390276839973,69.34213121142619,11.114605171208945,572400.0,318100.0,254300.0
30.0,598.0,596.0,2.0,99.66555183946488,0.3344481605351177,17934.0,16501.0,1433.0,28.304087548671504,96.75894665766374,68.45485910899224,11.515003489183531,573200.0,330020.0,243180.0
31.0,598.0,595.0,3.0,99.49832775919732,0.5016722408026766,18532.0,17096.0,1436.0,29.32468824508139,96.96151249155976,67.63682424647837,11.905292479108635,574400.0,341920.0,232480.0
32.0,598.0,594.0,4.0,99.33110367892976,0.6688963210702354,19130.0,17690.0,1440.0,30.343573646203193,97.23160027008778,66.88802662388458,12.284722222222221,576000.0,353800.0,222200.0
33.0,597.0,596.0,1.0,99.83249581239531,0.16750418760469188,19727.0,18286.0,1441.0,31.365889637901166,97.29912221471979,65.93323257681863,12.689798750867453,576400.0,365720.0,210680.0
34.0,598.0,597.0,1.0,99.83277591973244,0.16722408026755886,20325.0,18883.0,1442.0,32.38992092488722,97.3666441593518,64.97672323446457,13.09500693481276,576800.0,377660.0,199140.0
35.0,598.0,593.0,5.0,99.1638795986622,0.8361204013377943,20923.0,19476.0,1447.0,33.40709103072094,97.70425388251182,64.29716285179089,13.459571527297857,578800.0,389520.0,189280.0
36.0,598.0,595.0,3.0,99.49832775919732,0.5016722408026766,21521.0,20071.0,1450.0,34.42769172713083,97.90681971640784,63.47912798927701,13.84206896551724,580000.0,401420.0,178580.0
37.0,598.0,596.0,2.0,99.66555183946488,0.3344481605351177,22119.0,20667.0,1452.0,35.45000771882879,98.04186360567185,62.59185588684306,14.233471074380166,580800.0,413340.0,167460.0
38.0,597.0,595.0,2.0,99.66499162479062,0.33500837520938376,22716.0,21262.0,1454.0,36.47060841523869,98.17690749493586,61.706299079697175,14.623108665749657,581600.0,425240.0,156360.0
39.0,598.0,597.0,1.0,99.83277591973244,0.16722408026755886,23314.0,21859.0,1455.0,37.49463970222474,98.24442943956785,60.749789737343114,15.023367697594502,582000.0,437180.0,144820.0
40.0,598.0,596.0,2.0,99.66555183946488,0.3344481605351177,23912.0,22455.0,1457.0,38.51695569392271,98.37947332883186,59.86251763490915,15.411805078929307,582800.0,449100.0,133700.0
41.0,598.0,598.0,0.0,100.0,0.0,24510.0,23053.0,1457.0,39.54270227619685,98.37947332883186,58.836771052635015,15.822237474262183,582800.0,461060.0,121740.0
42.0,598.0,595.0,3.0,99.49832775919732,0.5016722408026766,25108.0,23648.0,1460.0,40.563302972606735,98.58203916272788,58.018736190121146,16.197260273972603,584000.0,472960.0,111040.0
43.0,597.0,596.0,1.0,99.83249581239531,0.16750418760469188,25705.0,24244.0,1461.0,41.58561896430471,98.64956110735989,57.06394214305518,16.594113620807665,584400.0,484880.0,99520.0
44.0,598.0,597.0,1.0,99.83277591973244,0.16722408026755886,26303.0,24841.0,1462.0,42.60965025129076,98.71708305199189,56.10743280070113,16.991108071135432,584800.0,496820.0,87980.0
45.0,598.0,597.0,1.0,99.83277591973244,0.16722408026755886,26901.0,25438.0,1463.0,43.63368153827681,98.7846049966239,55.15092345834709,17.38755980861244,585200.0,508760.0,76440.0
46.0,598.0,595.0,3.0,99.49832775919732,0.5016722408026766,27499.0,26033.0,1466.0,44.654282234686704,98.98717083051991,54.33288859583321,17.757844474761256,586400.0,520660.0,65740.0
47.0,598.0,597.0,1.0,99.83277591973244,0.16722408026755886,28097.0,26630.0,1467.0,45.678313521672756,99.05469277515192,53.376379253479165,18.152692569870485,586800.0,532600.0,54200.0
48.0,597.0,594.0,3.0,99.49748743718592,0.5025125628140756,28694.0,27224.0,1470.0,46.697198922794556,99.25725860904794,52.56005968625338,18.519727891156464,588000.0,544480.0,43520.0
49.0,598.0,597.0,1.0,99.83277591973244,0.16722408026755886,29292.0,27821.0,1471.0,47.721230209780614,99.32478055367994,51.60355034389933,18.912984364377973,588400.0,556420.0,31980.0
50.0,598.0,598.0,0.0,100.0,0.0,29890.0,28419.0,1471.0,48.74697679205475,99.32478055367994,50.57780376162519,19.319510537049627,588400.0,568380.0,20020.0
51.0,598.0,598.0,0.0,100.0,0.0,30488.0,29017.0,1471.0,49.77272337432889,99.32478055367994,49.55205717935105,19.726036709721278,588400.0,580340.0,8060.0
52.0,598.0,597.0,1.0,99.83277591973244,0.16722408026755886,31086.0,29614.0,1472.0,50.79675466131494,99.39230249831195,48.59554783699701,20.11820652173913,588800.0,592280.0,-3480.0
53.0,597.0,595.0,2.0,99.66499162479062,0.33500837520938376,31683.0,30209.0,1474.0,51.817355357724836,99.52734638757596,47.709991029851125,20.494572591587517,589600.0,604180.0,-14580.0
54.0,598.0,598.0,0.0,100.0,0.0,32281.0,30807.0,1474.0,52.843101939998974,99.52734638757596,46.68424444757699,20.900271370420626,589600.0,616140.0,-26540.0
55.0,598.0,598.0,0.0,100.0,0.0,32879.0,31405.0,1474.0,53.86884852227311,99.52734638757596,45.65849786530285,21.30597014925373,589600.0,628100.0,-38500.0
56.0,598.0,596.0,2.0,99.66555183946488,0.3344481605351177,33477.0,32001.0,1476.0,54.89116451397108,99.66239027683997,44.771225762868895,21.68089430894309,590400.0,640020.0,-49620.0
57.0,598.0,598.0,0.0,100.0,0.0,34075.0,32599.0,1476.0,55.916911096245215,99.66239027683997,43.74547918059476,22.086043360433603,590400.0,651980.0,-61580.0
58.0,597.0,596.0,1.0,99.83249581239531,0.16750418760469188,34672.0,33195.0,1477.0,56.93922708794319,99.72991222147198,42.79068513352879,22.474610697359513,590800.0,663900.0,-73100.0
