bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR,Fraud Savings,FP Loss,Overall Savings
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,256.0,33.0,223.0,12.890625,87.109375,256.0,33.0,223.0,0.1321850590827158,34.045801526717554,33.91361646763484,0.14798206278026907,89200.0,660.0,88540.0
2.0,256.0,66.0,190.0,25.78125,74.21875,512.0,99.0,413.0,0.39655517724814743,63.05343511450382,62.656879937255674,0.2397094430992736,165200.0,1980.0,163220.0
3.0,257.0,180.0,77.0,70.03891050583658,29.961089494163417,769.0,279.0,490.0,1.1175645904265972,74.80916030534351,73.69159571491691,0.5693877551020409,196000.0,5580.0,190420.0
4.0,256.0,228.0,28.0,89.0625,10.9375,1025.0,507.0,518.0,2.0308431804526337,79.08396946564885,77.05312628519621,0.9787644787644788,207200.0,10140.0,197060.0
5.0,256.0,237.0,19.0,92.578125,7.421875,1281.0,744.0,537.0,2.9801722411375926,81.98473282442748,79.00456058328989,1.3854748603351956,214800.0,14880.0,199920.0
6.0,256.0,243.0,13.0,94.921875,5.078125,1537.0,987.0,550.0,3.9535349489285,83.96946564885496,80.01593069992646,1.7945454545454544,220000.0,19740.0,200260.0
7.0,256.0,250.0,6.0,97.65625,2.34375,1793.0,1237.0,556.0,4.954936911676347,84.8854961832061,79.93055927152976,2.2248201438848922,222400.0,24740.0,197660.0
8.0,257.0,248.0,9.0,96.49805447470817,3.5019455252918306,2050.0,1485.0,565.0,5.948327658722211,86.25954198473282,80.31121432601061,2.6283185840707963,226000.0,29700.0,196300.0
9.0,256.0,253.0,3.0,98.828125,1.171875,2306.0,1738.0,568.0,6.961746445023032,86.7175572519084,79.75581080688536,3.0598591549295775,227200.0,34760.0,192440.0
10.0,256.0,247.0,9.0,96.484375,3.515625,2562.0,1985.0,577.0,7.951131584217905,88.09160305343511,80.1404714692172,3.440207972270364,230800.0,39700.0,191100.0
11.0,256.0,251.0,5.0,98.046875,1.953125,2818.0,2236.0,582.0,8.956539154816744,88.85496183206106,79.89842267724433,3.8419243986254297,232800.0,44720.0,188080.0
12.0,256.0,255.0,1.0,99.609375,0.390625,3074.0,2491.0,583.0,9.977969156819547,89.00763358778626,79.0296644309667,4.2727272727272725,233200.0,49820.0,183380.0
13.0,257.0,256.0,1.0,99.61089494163424,0.3891050583657574,3331.0,2747.0,584.0,11.003404766673343,89.16030534351145,78.15690057683811,4.703767123287672,233600.0,54940.0,178660.0
14.0,256.0,248.0,8.0,96.875,3.125,3587.0,2995.0,592.0,11.996795513719206,90.38167938931298,78.38488387559377,5.059121621621622,236800.0,59900.0,176900.0
15.0,256.0,254.0,2.0,99.21875,0.78125,3843.0,3249.0,594.0,13.01421990787102,90.68702290076335,77.67280299289233,5.46969696969697,237600.0,64980.0,172620.0
16.0,256.0,249.0,7.0,97.265625,2.734375,4099.0,3498.0,601.0,14.011616262767875,91.7557251908397,77.74410892807182,5.820299500831947,240400.0,69960.0,170440.0
17.0,256.0,252.0,4.0,98.4375,1.5625,4355.0,3750.0,605.0,15.021029441217705,92.36641221374046,77.34538277252275,6.198347107438017,242000.0,75000.0,167000.0
18.0,257.0,254.0,3.0,98.83268482490273,1.1673151750972721,4612.0,4004.0,608.0,16.038453835369516,92.82442748091603,76.7859736455465,6.5855263157894735,243200.0,80080.0,163120.0
19.0,256.0,256.0,0.0,100.0,0.0,4868.0,4260.0,608.0,17.063889445223314,92.82442748091603,75.76053803569272,7.006578947368421,243200.0,85200.0,158000.0
20.0,256.0,250.0,6.0,97.65625,2.34375,5124.0,4510.0,614.0,18.06529140797116,93.74045801526718,75.67516660729602,7.3452768729641695,245600.0,90200.0,155400.0
21.0,256.0,254.0,2.0,99.21875,0.78125,5380.0,4764.0,616.0,19.082715802122973,94.04580152671755,74.96308572459458,7.733766233766234,246400.0,95280.0,151120.0
22.0,256.0,256.0,0.0,100.0,0.0,5636.0,5020.0,616.0,20.108151411976767,94.04580152671755,73.93765011474079,8.14935064935065,246400.0,100400.0,146000.0
23.0,257.0,255.0,2.0,99.22178988326849,0.7782101167315147,5893.0,5275.0,618.0,21.129581413979572,94.35114503816794,73.22156362418838,8.535598705501618,247200.0,105500.0,141700.0
