,bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR,TP,TN,FN,FP,Accuracy,Misclass,FPRate,FPRatio,TPR,TNR,Precision,f1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12281.0,356.0,0.0,0.9718287568251959,0.028171243174804145,0.0,,0.0,1.0,,
1,1.0,126.0,22.0,104.0,17.46031746031746,82.53968253968254,126.0,22.0,104.0,0.1791385066362674,29.213483146067414,29.034344639431147,0.21153846153846154,104.0,12259.0,252.0,22.0,0.9783176386800665,0.02168236131993353,0.001791385066362674,0.21153846153846154,0.29213483146067415,0.9982086149336373,0.8253968253968254,0.43153526970954353
2,2.0,127.0,52.0,75.0,40.94488188976378,59.05511811023622,253.0,74.0,179.0,0.6025567950492631,50.28089887640449,49.67834208135523,0.4134078212290503,179.0,12207.0,177.0,74.0,0.9801376909076521,0.019862309092347867,0.006025567950492631,0.4134078212290503,0.5028089887640449,0.9939744320495074,0.7075098814229249,0.5878489326765188
3,3.0,126.0,91.0,35.0,72.22222222222223,27.77777777777777,379.0,165.0,214.0,1.3435387997720056,60.1123595505618,58.76882075078979,0.7710280373831776,214.0,12116.0,142.0,165.0,0.9757062593970088,0.024293740602991217,0.013435387997720056,0.7710280373831776,0.601123595505618,0.98656461200228,0.5646437994722955,0.582312925170068
4,4.0,126.0,109.0,17.0,86.5079365079365,13.492063492063494,505.0,274.0,231.0,2.231088673560785,64.88764044943821,62.656551775877425,1.1861471861471862,231.0,12007.0,125.0,274.0,0.9684260504866662,0.03157394951333386,0.02231088673560785,1.1861471861471862,0.648876404494382,0.9776891132643921,0.45742574257425744,0.5365853658536586
5,5.0,127.0,113.0,14.0,88.97637795275591,11.02362204724409,632.0,387.0,245.0,3.1512091849197947,68.82022471910112,65.66901553418133,1.579591836734694,245.0,11894.0,111.0,387.0,0.9605919126374931,0.03940808736250692,0.03151209184919795,1.579591836734694,0.6882022471910112,0.9684879081508021,0.3876582278481013,0.49595141700404854
6,6.0,126.0,115.0,11.0,91.26984126984127,8.730158730158735,758.0,502.0,256.0,4.087615015063919,71.91011235955057,67.82249734448665,1.9609375,256.0,11779.0,100.0,502.0,0.952362111260584,0.047637888739416004,0.040876150150639196,1.9609375,0.7191011235955056,0.9591238498493608,0.33773087071240104,0.45960502692998206
7,7.0,127.0,112.0,15.0,88.18897637795276,11.811023622047244,885.0,614.0,271.0,4.999592867030372,76.12359550561797,71.1240026385876,2.265682656826568,271.0,11667.0,85.0,614.0,0.9446862388225054,0.05531376117749466,0.049995928670303724,2.265682656826568,0.7612359550561798,0.9500040713296963,0.30621468926553674,0.4367445608380339
8,8.0,126.0,113.0,13.0,89.68253968253968,10.317460317460316,1011.0,727.0,284.0,5.919713378389382,79.7752808988764,73.85556752048703,2.5598591549295775,284.0,11554.0,72.0,727.0,0.9367729682677851,0.06322703173221493,0.05919713378389382,2.5598591549295775,0.797752808988764,0.9408028662161062,0.2809099901088032,0.415508412582297
9,9.0,126.0,118.0,8.0,93.65079365079364,6.349206349206355,1137.0,845.0,292.0,6.88054718671118,82.02247191011236,75.14192472340117,2.893835616438356,292.0,11436.0,64.0,845.0,0.9280683706575927,0.07193162934240721,0.06880547186711179,2.893835616438356,0.8202247191011236,0.9311945281328882,0.256816182937555,0.391158740790355
10,10.0,127.0,120.0,7.0,94.48818897637796,5.511811023622045,1264.0,965.0,299.0,7.857666313818093,83.98876404494382,76.13109773112572,3.2274247491638794,299.0,11316.0,57.0,965.0,0.9191263749307589,0.08087362506924112,0.07857666313818093,3.2274247491638794,0.8398876404494382,0.9214233368618191,0.23655063291139242,0.3691358024691358
11,11.0,126.0,121.0,5.0,96.03174603174604,3.9682539682539613,1390.0,1086.0,304.0,8.842928100317565,85.3932584269663,76.55033032664873,3.5723684210526314,304.0,11195.0,52.0,1086.0,0.9099469810872833,0.09005301891271662,0.08842928100317564,3.5723684210526314,0.8539325842696629,0.9115707189968244,0.218705035971223,0.3482245131729668
