,bin,#recs,#g,#b,%g,%b,tot,cg,cb,score_raw,prob(%),odds,log_odds,log_odds_adj,fit,score_calib
1,1.0,980.0,980.0,0.0,100.0,0.0,980.0,980.0,0.0,0.0002348510774954944,0.0,1.020408163265306e-06,-19.902422223664658,-8.0,,999.0
2,2.0,981.0,981.0,0.0,100.0,0.0,1962.0,1961.0,0.0,0.00032409980974473947,0.0,1.0193679918450562e-06,-19.903893610881326,-8.0,,999.0
3,3.0,980.0,980.0,0.0,100.0,0.0,2940.0,2941.0,0.0,0.00041414641106800933,0.0,1.020408163265306e-06,-19.902422223664658,-8.0,,999.0
4,4.0,980.0,980.0,0.0,100.0,0.0,3920.0,3921.0,0.0,0.0004891703435328972,0.0,1.020408163265306e-06,-19.902422223664658,-8.0,,999.0
5,5.0,981.0,981.0,0.0,100.0,0.0,4905.0,4902.0,0.0,0.0005587453737712476,0.0,1.0193679918450562e-06,-19.903893610881326,-8.0,,999.0
6,6.0,980.0,980.0,0.0,100.0,0.0,5880.0,5882.0,0.0,0.0006274311795804895,0.0,1.020408163265306e-06,-19.902422223664658,-8.0,,999.0
7,7.0,981.0,981.0,0.0,100.0,0.0,6867.0,6863.0,0.0,0.0006974438739582077,0.0,1.0193679918450562e-06,-19.903893610881326,-8.0,,999.0
8,8.0,980.0,980.0,0.0,100.0,0.0,7840.0,7843.0,0.0,0.0007627777820201373,0.0,1.020408163265306e-06,-19.902422223664658,-8.0,,999.0
9,9.0,980.0,980.0,0.0,100.0,0.0,8820.0,8823.0,0.0,0.0008224352325609465,0.0,1.020408163265306e-06,-19.902422223664658,-8.0,,999.0
10,10.0,981.0,981.0,0.0,100.0,0.0,9810.0,9804.0,0.0,0.0008824665888786761,0.0,1.0193679918450562e-06,-19.903893610881326,-8.0,,999.0
11,11.0,980.0,980.0,0.0,100.0,0.0,10780.0,10784.0,0.0,0.0009382070897342821,0.0,1.020408163265306e-06,-19.902422223664658,-8.0,,999.0
12,12.0,980.0,980.0,0.0,100.0,0.0,11760.0,11764.0,0.0,0.0009923854005250857,0.0,1.020408163265306e-06,-19.902422223664658,-8.0,,999.0
13,13.0,981.0,981.0,0.0,100.0,0.0,12753.0,12745.0,0.0,0.0010474174207647329,0.0,1.0193679918450562e-06,-19.903893610881326,-8.0,,999.0
14,14.0,980.0,980.0,0.0,100.0,0.0,13720.0,13725.0,0.0,0.0011058902954727808,0.0,1.020408163265306e-06,-19.902422223664658,-8.0,,999.0
15,15.0,981.0,981.0,0.0,100.0,0.0,14715.0,14706.0,0.0,0.001162420670575753,0.0,1.0193679918450562e-06,-19.903893610881326,-8.0,,999.0
16,16.0,980.0,979.0,1.0,99.89795918367346,0.10204081632653583,15680.0,15685.0,1.0,0.001219121010249434,0.10204081632653061,0.0010224719101123594,-9.93372307542979,-8.0,,999.0
17,17.0,980.0,980.0,0.0,100.0,0.0,16660.0,16665.0,1.0,0.0012784398775670179,0.0,1.020408163265306e-06,-19.902422223664658,-8.0,,999.0
18,18.0,981.0,981.0,0.0,100.0,0.0,17658.0,17646.0,1.0,0.001337543987742641,0.0,1.0193679918450562e-06,-19.903893610881326,-8.0,,999.0
19,19.0,980.0,980.0,0.0,100.0,0.0,18620.0,18626.0,1.0,0.0013961070613654433,0.0,1.020408163265306e-06,-19.902422223664658,-8.0,-18.73117312939693,291.8150993098087
20,20.0,980.0,980.0,0.0,100.0,0.0,19600.0,19606.0,1.0,0.0014531535418683243,0.0,1.020408163265306e-06,-19.902422223664658,-8.0,-12.529093404905266,415.8566937996419
21,21.0,981.0,981.0,0.0,100.0,0.0,20601.0,20587.0,1.0,0.0015150867662684759,0.0,1.0193679918450562e-06,-19.903893610881326,-8.0,-11.582775114296924,434.78305961180877
